#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
71.046 36.732 67.39 3.4 1.8 1.9 deepPamir
71.159 36.939 67.45 3.0 1.8 1.9 deepPamir
73.463 37.614 67.46 2.4 3.1 - deepPamir
71.026 36.586 67.51 3.9 2.4 1.9 deepPamir
69.930 35.628 67.57 3.0 4.3 - deepHinduKush
71.434 36.639 67.57 2.5 3.5 1.9 deepHinduKush
71.412 36.680 67.61 3.1 4.8 1.9 deepHinduKush
71.089 36.789 67.72 3.1 2.8 1.9 deepPamir
71.058 36.706 67.77 3.0 2.1 1.9 deepPamir
71.062 36.831 67.79 2.7 2.6 1.9 deepPamir
71.272 36.747 67.83 3.4 2.1 1.9 deepHinduKush
71.007 36.834 67.88 2.4 3.1 1.9 deepPamir
70.993 36.849 67.99 3.8 1.7 1.9 deepPamir
71.119 36.274 68.01 2.9 3.4 1.9 deepHinduKush
71.127 36.715 68.01 2.5 3.9 1.9 deepPamir
70.660 36.337 68.02 3.0 7.9 - deepHinduKush
71.196 36.427 68.08 2.4 4.2 1.9 deepHinduKush
69.384 35.668 68.28 4.1 4.7 1.9 deepHinduKush
70.971 37.515 68.45 2.9 1.9 - deepPamir
70.999 36.674 68.45 3.1 13.5 - deepPamir
71.156 36.729 68.63 2.3 3.2 1.9 deepPamir
71.061 36.857 68.64 3.8 2.3 1.9 deepPamir
69.559 35.592 68.69 3.3 3.5 1.9 deepHinduKush
71.023 36.716 68.70 2.8 4.0 1.9 deepPamir
72.139 37.414 68.82 2.4 3.0 - deepPamir
67.802 39.073 68.84 2.9 20.0 - deepPamir
71.080 36.572 68.88 3.3 2.2 1.9 deepPamir
71.091 36.768 68.90 3.4 4.7 1.9 deepPamir
71.130 36.710 68.90 3.1 2.0 1.9 deepPamir
69.840 36.002 68.96 3.2 3.2 1.9 deepHinduKush
71.184 36.361 69.01 3.0 5.1 1.9 deepHinduKush
70.901 35.907 69.02 3.8 5.8 - deepHinduKush
71.415 36.571 69.05 3.6 2.7 1.9 deepHinduKush
71.400 36.693 69.21 3.2 3.9 1.9 deepHinduKush
71.214 36.758 69.24 2.7 2.8 1.9 deepHinduKush
71.305 36.783 69.25 2.8 3.0 1.9 deepHinduKush
71.331 36.516 69.45 2.9 3.3 1.9 deepHinduKush
71.150 37.159 69.52 3.2 2.1 1.9 deepPamir
70.965 36.172 69.54 3.2 5.4 1.9 deepHinduKush
70.610 35.720 69.55 2.5 4.3 - deepHinduKush
72.439 37.343 69.62 2.1 2.6 - deepPamir
71.152 36.740 69.63 2.9 2.9 1.9 deepPamir
71.154 36.728 69.68 2.9 2.6 1.9 deepPamir
71.080 36.774 69.72 2.8 1.9 1.9 deepPamir
71.263 36.545 69.73 2.2 3.7 1.9 deepHinduKush
71.031 35.997 69.75 3.7 4.9 - deepHinduKush
71.154 36.723 69.77 3.3 2.1 1.9 deepPamir
69.221 36.085 69.81 3.2 6.6 - deepHinduKush
71.022 36.521 69.89 2.8 6.8 - deepPamir
71.284 36.400 69.97 3.4 5.2 1.9 deepHinduKush
71.294 36.362 70.03 3.0 6.0 1.9 deepHinduKush
71.037 35.942 70.09 2.8 3.7 - deepHinduKush
71.210 36.741 70.11 2.6 4.0 1.9 deepPamir
71.299 36.953 70.12 2.5 5.0 - deepPamir
71.272 36.455 70.27 3.0 2.6 1.9 deepHinduKush
71.255 37.558 70.30 3.0 2.0 - deepPamir
71.178 36.750 70.32 4.0 2.0 1.9 deepPamir
71.191 36.870 70.36 2.9 2.6 1.9 deepPamir
71.184 36.359 70.44 3.5 6.1 1.9 deepHinduKush
71.081 36.767 70.45 3.6 2.1 1.9 deepPamir
70.721 36.372 70.50 2.6 4.5 - deepHinduKush
70.375 36.155 70.56 2.6 4.1 1.9 deepHinduKush
71.440 36.738 70.56 3.2 2.9 1.9 deepPamir
71.129 36.844 70.62 2.9 2.9 1.9 deepPamir
71.157 36.762 70.66 3.7 3.9 1.9 deepPamir
71.220 36.409 70.67 4.0 2.6 1.9 deepHinduKush
71.346 36.983 70.71 3.0 2.7 1.9 deepPamir
71.240 37.095 70.81 3.2 2.1 1.9 deepPamir
71.306 36.785 70.81 3.9 2.0 1.9 deepPamir
70.803 36.370 70.82 2.8 5.3 - deepHinduKush
71.439 36.484 70.86 3.6 2.2 1.9 deepHinduKush
71.251 36.490 70.93 4.0 2.4 1.9 deepHinduKush
71.238 36.778 70.95 2.8 2.3 1.9 deepPamir
69.150 36.000 70.98 4.6 6.7 - deepHinduKush
71.155 36.548 71.01 3.0 4.9 - deepHinduKush
69.661 35.525 71.05 3.4 3.6 1.9 deepHinduKush
70.977 36.100 71.22 2.7 4.6 1.9 deepHinduKush
71.420 36.700 71.25 3.2 4.6 1.9 deepHinduKush
71.338 36.821 71.29 2.8 2.8 1.9 deepPamir
71.103 37.064 71.44 2.5 3.8 1.9 deepPamir
71.136 37.060 71.47 3.5 1.3 1.9 deepPamir
70.808 36.840 71.54 4.2 4.1 - deepPamir
71.159 36.451 71.64 3.4 3.3 1.9 deepHinduKush
70.768 36.574 71.66 2.3 9.5 - deepHinduKush
71.324 36.501 71.66 3.0 3.7 1.9 deepHinduKush
71.265 36.555 71.67 2.8 3.3 1.9 deepHinduKush
71.085 37.054 71.71 2.8 2.3 1.9 deepPamir
71.116 36.667 71.75 2.2 13.2 - deepHinduKush
69.660 35.568 71.76 4.1 3.4 1.9 deepHinduKush
71.256 37.123 71.78 3.7 3.6 1.9 deepPamir
68.490 35.600 71.80 4.9 16.1 - deepHinduKush
70.442 36.237 71.85 2.7 8.1 - deepHinduKush
70.974 36.145 71.90 2.9 5.3 1.9 deepHinduKush
73.569 37.391 71.96 3.2 2.0 - deepPamir
70.496 36.169 71.97 2.9 2.9 1.9 deepHinduKush
71.306 36.828 71.99 3.5 1.7 1.9 deepPamir
71.128 37.089 72.02 5.2 2.1 1.9 deepPamir
71.173 36.732 72.05 3.5 3.2 1.9 deepPamir
71.630 36.789 72.05 3.1 2.8 1.9 deepPamir
71.618 36.607 72.15 4.5 4.5 - deepHinduKush
68.893 38.496 72.17 5.1 20.5 - deepPamir
71.620 37.000 72.20 3.5 5.7 - deepPamir
71.264 37.108 72.39 2.8 1.8 1.9 deepPamir
71.018 36.761 72.66 3.2 3.2 1.9 deepPamir
71.148 37.112 72.75 2.3 3.5 1.9 deepPamir
75.699 38.344 72.80 4.7 36.0 - deepPamir
71.227 36.461 72.81 4.0 3.3 1.9 deepHinduKush
73.525 35.559 72.82 3.4 20.3 - deepHinduKush
71.181 36.670 72.87 3.3 6.2 1.9 deepHinduKush
71.113 36.841 72.92 3.1 3.7 1.9 deepPamir
71.279 36.846 72.98 2.5 4.5 - deepPamir
71.431 36.535 73.00 4.7 1.8 1.9 deepHinduKush
71.113 36.067 73.02 3.1 6.7 - deepHinduKush
71.503 36.720 73.07 3.7 2.2 1.9 deepPamir
71.068 37.106 73.14 3.2 3.3 1.9 deepPamir
69.764 36.036 73.15 3.5 3.1 1.9 deepHinduKush
71.058 36.472 73.24 3.0 11.3 - deepHinduKush
71.439 36.529 73.24 5.5 2.1 1.9 deepHinduKush
73.558 37.020 73.24 2.2 8.2 - deepPamir
70.230 36.039 73.28 3.2 3.9 - deepHinduKush
71.100 37.044 73.31 3.2 3.1 1.9 deepPamir
75.696 38.550 73.31 2.4 16.2 1.9 deepPamir
71.307 36.817 73.39 2.7 4.0 1.9 deepPamir
70.538 36.164 73.40 2.8 3.3 1.9 deepHinduKush
71.320 36.896 73.43 2.1 4.3 1.9 deepPamir
71.015 36.874 73.62 3.1 2.7 1.9 deepPamir
70.805 36.854 73.67 2.8 2.1 - deepPamir
71.234 36.610 73.75 2.7 3.4 1.9 deepHinduKush
71.360 36.353 73.77 3.3 3.2 1.9 deepHinduKush
71.100 36.485 73.90 3.0 9.9 1.9 deepHinduKush
71.335 37.003 73.91 2.4 2.6 1.9 deepPamir
70.691 36.215 73.99 3.6 3.0 1.9 deepHinduKush
70.719 36.208 74.04 3.4 4.0 1.9 deepHinduKush
71.079 36.981 74.04 2.3 3.3 1.9 deepPamir
69.868 35.995 74.05 3.5 7.5 - deepHinduKush
71.152 36.528 74.11 3.2 3.2 1.9 deepHinduKush
73.865 36.782 74.11 3.4 8.3 - deepPamir
70.769 36.309 74.14 2.8 5.4 1.9 deepHinduKush
71.138 37.105 74.19 4.3 2.7 1.9 deepPamir
70.861 35.960 74.27 3.9 2.5 1.9 deepHinduKush
70.513 36.166 74.35 3.0 2.6 1.9 deepHinduKush
71.639 36.873 74.39 2.7 2.5 1.9 deepPamir
70.702 36.259 74.41 2.9 3.4 1.9 deepHinduKush
71.151 36.540 74.48 2.8 6.4 1.9 deepHinduKush
69.552 36.337 74.52 4.6 27.3 - deepHinduKush
71.242 36.894 74.58 3.3 3.8 1.9 deepPamir
71.267 36.781 74.63 3.1 2.2 1.9 deepPamir
69.278 35.932 74.64 3.9 5.3 - deepHinduKush
69.877 36.089 74.65 2.8 15.0 - deepHinduKush
