#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
71.926 37.090 208.04 3.0 4.5 1.9 deepPamir
70.302 36.481 208.05 2.7 8.2 1.9 deepHinduKush
72.240 37.349 208.07 3.4 4.9 1.9 deepPamir
72.283 37.460 208.10 2.4 8.4 1.9 deepPamir
72.326 37.494 208.10 3.6 2.9 1.9 deepPamir
70.363 36.489 208.11 4.5 4.3 1.9 deepHinduKush
70.238 36.482 208.13 3.7 3.7 1.9 deepHinduKush
72.375 37.491 208.14 3.4 4.0 1.9 deepPamir
71.285 36.663 208.15 2.4 7.6 1.9 deepHinduKush
72.232 37.401 208.19 4.2 4.4 1.9 deepPamir
70.351 36.496 208.20 3.0 4.3 1.9 deepHinduKush
70.925 36.479 208.20 4.0 6.3 1.9 deepHinduKush
72.222 37.403 208.23 3.8 4.3 1.9 deepPamir
71.977 37.155 208.24 3.5 7.0 1.9 deepPamir
71.897 37.090 208.33 2.8 8.7 1.9 deepPamir
70.319 36.456 208.37 3.6 3.2 1.9 deepHinduKush
70.280 36.489 208.41 2.8 3.7 1.9 deepHinduKush
70.242 36.503 208.42 3.2 7.0 1.9 deepHinduKush
72.197 37.369 208.42 3.5 4.6 1.9 deepPamir
71.047 36.634 208.44 2.8 9.6 1.9 deepHinduKush
70.309 36.467 208.46 3.5 4.4 1.9 deepHinduKush
70.311 37.016 208.46 2.4 24.6 - deepHinduKush
70.698 36.476 208.47 3.3 8.3 1.9 deepHinduKush
72.171 37.375 208.50 2.6 6.4 1.9 deepPamir
70.295 36.455 208.53 3.2 6.3 1.9 deepHinduKush
70.908 36.602 208.53 2.7 6.5 1.9 deepHinduKush
70.898 36.519 208.54 2.4 6.2 1.9 deepHinduKush
70.921 36.485 208.56 3.7 4.0 1.9 deepHinduKush
70.299 36.455 208.62 3.5 6.1 1.9 deepHinduKush
70.295 36.440 208.66 3.1 6.0 1.9 deepHinduKush
71.041 36.612 208.66 4.3 3.7 1.9 deepHinduKush
70.238 36.481 208.68 3.8 3.1 1.9 deepHinduKush
70.913 36.494 208.68 3.0 4.1 1.9 deepHinduKush
71.143 36.441 208.70 4.7 3.4 1.9 deepHinduKush
70.350 36.495 208.71 3.3 4.1 1.9 deepHinduKush
70.947 36.433 208.73 3.7 5.2 1.9 deepHinduKush
72.213 37.396 208.74 3.0 4.4 1.9 deepPamir
70.439 36.487 208.75 4.0 3.4 1.9 deepHinduKush
70.824 36.556 208.77 3.7 3.9 1.9 deepHinduKush
70.688 36.407 208.79 3.4 3.9 1.9 deepHinduKush
71.053 36.626 208.81 4.9 3.9 1.9 deepHinduKush
72.205 37.443 208.84 2.3 7.6 1.9 deepPamir
71.888 37.097 208.85 3.0 5.0 1.9 deepPamir
70.967 36.518 208.86 4.6 4.9 1.9 deepHinduKush
70.351 36.455 208.87 3.0 4.8 1.9 deepHinduKush
70.386 36.483 208.95 2.6 7.9 1.9 deepHinduKush
70.351 36.500 208.96 4.0 3.5 1.9 deepHinduKush
71.907 37.228 208.96 2.5 7.7 1.9 deepPamir
70.847 36.568 209.00 3.2 4.2 1.9 deepHinduKush
71.060 36.646 209.00 2.6 5.1 1.9 deepHinduKush
70.363 36.503 209.02 3.1 4.8 1.9 deepHinduKush
70.402 36.501 209.06 3.2 5.6 1.9 deepHinduKush
70.477 36.482 209.06 3.7 4.6 1.9 deepHinduKush
70.353 36.488 209.09 3.2 5.4 1.9 deepHinduKush
71.343 36.647 209.10 3.2 4.6 1.9 deepHinduKush
72.158 37.371 209.11 3.7 2.9 1.9 deepPamir
70.691 36.427 209.13 2.6 5.5 1.9 deepHinduKush
72.154 37.344 209.13 3.2 3.5 1.9 deepPamir
71.955 37.235 209.15 3.4 5.1 1.9 deepPamir
70.286 36.471 209.19 3.1 5.3 1.9 deepHinduKush
72.189 37.290 209.19 3.8 4.0 1.9 deepPamir
72.403 37.553 209.19 3.4 4.2 1.9 deepPamir
70.420 36.406 209.26 2.8 6.4 1.9 deepHinduKush
70.438 36.494 209.30 3.3 4.6 1.9 deepHinduKush
72.382 37.240 209.32 4.0 10.1 - deepPamir
70.311 36.496 209.34 2.9 5.6 1.9 deepHinduKush
71.052 36.611 209.34 5.4 3.1 1.9 deepHinduKush
70.696 36.424 209.35 4.1 5.8 1.9 deepHinduKush
71.023 36.599 209.35 3.7 6.5 1.9 deepHinduKush
71.888 37.119 209.36 2.8 8.7 1.9 deepPamir
70.682 36.431 209.37 2.4 7.9 1.9 deepHinduKush
71.048 36.743 209.39 2.4 14.4 - deepHinduKush
71.217 36.452 209.39 3.5 5.0 1.9 deepHinduKush
70.707 36.506 209.41 2.7 8.0 1.9 deepHinduKush
71.682 36.796 209.41 2.9 7.1 - deepHinduKush
70.409 36.495 209.44 2.2 6.1 1.9 deepHinduKush
70.936 36.508 209.47 3.2 4.2 1.9 deepHinduKush
70.353 36.496 209.49 3.7 3.4 1.9 deepHinduKush
70.245 36.492 209.50 2.5 4.9 1.9 deepHinduKush
71.294 36.688 209.52 4.3 3.4 1.9 deepHinduKush
70.285 36.502 209.54 3.8 3.6 1.9 deepHinduKush
72.196 37.386 209.62 2.8 7.4 1.9 deepPamir
71.898 37.136 209.67 3.0 5.4 1.9 deepPamir
72.275 37.446 209.67 3.3 4.1 1.9 deepPamir
70.317 36.496 209.69 2.8 7.6 1.9 deepHinduKush
70.268 36.486 209.70 4.5 4.0 1.9 deepHinduKush
71.287 36.700 209.71 4.3 3.3 1.9 deepHinduKush
70.354 36.486 209.72 3.3 3.7 1.9 deepHinduKush
70.466 36.499 209.72 3.3 6.3 1.9 deepHinduKush
70.950 36.493 209.74 3.2 5.8 1.9 deepHinduKush
70.320 36.497 209.76 3.2 5.5 1.9 deepHinduKush
71.249 36.682 209.78 3.0 4.1 1.9 deepHinduKush
70.296 36.485 209.82 3.9 4.4 1.9 deepHinduKush
72.006 37.070 209.82 2.6 5.3 1.9 deepPamir
70.298 36.488 209.83 3.6 3.3 1.9 deepHinduKush
70.393 36.464 209.85 2.9 6.2 1.9 deepHinduKush
72.298 37.467 209.86 3.1 4.9 1.9 deepPamir
72.179 37.385 209.89 4.7 3.3 1.9 deepPamir
71.875 37.189 209.90 2.9 6.6 1.9 deepPamir
72.169 37.369 209.91 3.4 4.5 1.9 deepPamir
70.416 36.498 210.01 4.8 3.1 1.9 deepHinduKush
69.945 36.498 210.03 2.5 12.3 - deepHinduKush
70.407 36.459 210.03 3.0 7.8 1.9 deepHinduKush
72.176 37.409 210.05 2.9 10.3 1.9 deepPamir
70.859 36.508 210.06 3.3 7.0 1.9 deepHinduKush
71.282 36.684 210.08 3.9 3.0 1.9 deepHinduKush
70.693 36.400 210.13 3.6 3.7 1.9 deepHinduKush
70.769 36.565 210.16 2.9 6.9 1.9 deepHinduKush
70.835 36.568 210.17 2.0 4.8 1.9 deepHinduKush
70.519 36.441 210.19 2.8 5.6 1.9 deepHinduKush
70.750 36.507 210.21 3.5 8.4 1.9 deepHinduKush
70.259 36.508 210.23 3.1 6.5 1.9 deepHinduKush
72.235 37.386 210.26 2.8 7.2 1.9 deepPamir
70.291 36.495 210.30 3.6 3.8 1.9 deepHinduKush
70.362 36.484 210.30 5.3 2.9 1.9 deepHinduKush
70.390 36.505 210.31 2.7 5.3 1.9 deepHinduKush
70.392 36.432 210.32 2.5 6.4 1.9 deepHinduKush
71.317 36.688 210.32 4.4 6.2 1.9 deepHinduKush
70.281 36.491 210.38 2.6 7.1 1.9 deepHinduKush
72.366 37.482 210.38 4.7 3.7 1.9 deepPamir
70.356 36.461 210.40 2.5 6.8 1.9 deepHinduKush
70.269 36.502 210.47 3.7 3.1 1.9 deepHinduKush
70.379 36.430 210.51 3.5 4.9 1.9 deepHinduKush
70.275 36.488 210.52 3.2 4.0 1.9 deepHinduKush
70.998 36.624 210.54 4.4 3.5 1.9 deepHinduKush
71.918 37.105 210.54 3.7 6.5 1.9 deepPamir
72.125 37.305 210.54 3.3 5.2 1.9 deepPamir
70.936 36.537 210.59 3.1 6.0 1.9 deepHinduKush
70.794 36.541 210.63 4.3 3.5 1.9 deepHinduKush
70.988 36.659 210.66 2.4 6.7 1.9 deepHinduKush
72.271 37.379 210.67 2.5 6.6 1.9 deepPamir
70.922 36.559 210.70 3.6 8.4 1.9 deepHinduKush
71.020 36.647 210.70 3.0 3.7 1.9 deepHinduKush
70.065 36.512 210.73 4.7 6.3 1.9 deepHinduKush
70.323 36.500 210.77 2.8 4.6 1.9 deepHinduKush
71.320 36.692 210.80 3.3 5.9 1.9 deepHinduKush
71.210 36.703 210.87 2.9 5.3 1.9 deepHinduKush
71.918 37.138 210.88 2.9 8.3 1.9 deepPamir
71.028 36.623 210.91 4.1 3.7 1.9 deepHinduKush
72.001 37.221 210.92 3.9 4.9 1.9 deepPamir
72.413 37.528 210.93 2.7 6.2 1.9 deepPamir
70.391 36.496 210.95 3.3 5.0 1.9 deepHinduKush
70.926 36.401 210.96 4.5 5.9 1.9 deepHinduKush
70.962 36.530 210.97 3.3 5.3 1.9 deepHinduKush
72.163 37.363 210.97 3.0 4.5 1.9 deepPamir
70.309 36.488 210.99 2.6 4.9 1.9 deepHinduKush
71.904 37.116 211.00 3.5 3.8 1.9 deepPamir
70.929 36.460 211.02 2.5 7.9 1.9 deepHinduKush
70.325 36.496 211.03 3.6 3.1 1.9 deepHinduKush
70.892 36.556 211.04 3.3 4.4 1.9 deepHinduKush
72.234 37.383 211.04 4.1 4.3 1.9 deepPamir
71.323 36.586 211.05 3.0 6.3 1.9 deepHinduKush
70.318 36.484 211.06 2.8 6.3 1.9 deepHinduKush
70.627 36.510 211.08 4.9 4.9 1.9 deepHinduKush
70.913 36.540 211.09 3.1 7.0 1.9 deepHinduKush
71.291 36.670 211.09 2.3 7.1 1.9 deepHinduKush
72.162 37.360 211.09 3.0 3.9 1.9 deepPamir
70.274 36.449 211.11 2.3 8.0 1.9 deepHinduKush
70.332 36.507 211.14 2.9 6.5 1.9 deepHinduKush
70.242 36.487 211.15 3.0 3.6 1.9 deepHinduKush
71.965 37.061 211.16 2.9 6.7 1.9 deepPamir
72.418 37.527 211.19 2.9 6.1 1.9 deepPamir
70.701 36.433 211.20 2.9 6.8 1.9 deepHinduKush
71.978 37.047 211.22 2.8 7.8 1.9 deepPamir
70.336 36.442 211.27 3.8 4.3 1.9 deepHinduKush
70.991 36.550 211.28 3.1 5.9 1.9 deepHinduKush
71.121 36.718 211.30 2.7 5.5 1.9 deepHinduKush
72.372 37.515 211.33 4.2 4.2 1.9 deepPamir
70.802 36.396 211.36 3.1 5.2 1.9 deepHinduKush
70.964 36.523 211.41 2.6 5.6 1.9 deepHinduKush
70.968 36.517 211.46 3.0 5.4 1.9 deepHinduKush
70.330 36.499 211.48 4.1 3.4 1.9 deepHinduKush
70.920 36.437 211.53 3.0 7.4 1.9 deepHinduKush
70.240 36.465 211.54 3.1 3.5 1.9 deepHinduKush
70.325 36.489 211.56 2.8 3.9 1.9 deepHinduKush
70.686 36.419 211.58 3.0 6.9 1.9 deepHinduKush
72.183 37.385 211.59 3.2 4.9 1.9 deepPamir
70.603 36.557 211.65 5.1 5.6 1.9 deepHinduKush
72.440 37.374 211.65 2.9 7.2 1.9 deepPamir
70.235 36.491 211.67 3.4 4.0 1.9 deepHinduKush
70.241 36.486 211.68 3.3 3.6 1.9 deepHinduKush
70.337 36.529 211.69 3.2 5.7 1.9 deepHinduKush
70.363 36.411 211.69 3.0 6.6 1.9 deepHinduKush
70.971 36.453 211.71 3.8 4.9 1.9 deepHinduKush
70.235 36.466 211.72 3.2 9.3 1.9 deepHinduKush
71.988 37.216 211.72 3.0 5.2 1.9 deepPamir
70.300 36.503 211.74 3.0 5.7 1.9 deepHinduKush
72.448 37.504 211.74 2.8 8.1 1.9 deepPamir
70.293 36.493 211.75 3.3 7.3 1.9 deepHinduKush
70.254 36.469 211.77 3.0 4.8 1.9 deepHinduKush
71.293 36.651 211.77 2.8 5.6 1.9 deepHinduKush
70.070 36.506 211.80 4.5 3.0 1.9 deepHinduKush
70.925 36.468 211.82 4.8 4.4 1.9 deepHinduKush
72.266 37.427 211.84 2.9 5.4 1.9 deepPamir
70.254 36.494 211.85 5.0 3.0 1.9 deepHinduKush
70.982 36.606 211.87 4.1 5.1 1.9 deepHinduKush
71.339 36.674 211.87 2.7 5.6 1.9 deepHinduKush
70.349 36.490 211.91 3.1 5.5 1.9 deepHinduKush
70.925 36.548 211.92 3.0 6.2 1.9 deepHinduKush
70.232 36.483 211.93 3.0 5.4 1.9 deepHinduKush
70.959 36.480 211.93 3.3 8.7 1.9 deepHinduKush
70.975 36.527 211.94 3.4 4.8 1.9 deepHinduKush
70.951 36.506 211.96 3.3 4.6 1.9 deepHinduKush
72.155 37.346 212.01 3.2 4.4 1.9 deepPamir
71.179 36.582 212.03 3.0 7.3 1.9 deepHinduKush
72.383 37.491 212.05 3.7 4.7 1.9 deepPamir
70.286 36.453 212.06 2.2 4.6 1.9 deepHinduKush
72.452 37.545 212.06 2.9 8.4 1.9 deepPamir
72.470 37.535 212.06 2.7 6.9 1.9 deepPamir
71.237 36.654 212.10 3.6 3.9 1.9 deepHinduKush
71.899 37.093 212.11 3.0 5.7 1.9 deepPamir
71.080 36.569 212.13 2.8 12.4 1.9 deepHinduKush
70.326 36.467 212.18 2.6 5.9 1.9 deepHinduKush
70.427 36.512 212.18 3.4 3.3 1.9 deepHinduKush
70.299 36.462 212.21 3.4 4.4 1.9 deepHinduKush
71.053 36.675 212.21 2.4 7.2 1.9 deepHinduKush
70.219 36.481 212.29 4.3 2.8 1.9 deepHinduKush
70.363 36.490 212.31 3.7 3.2 1.9 deepHinduKush
70.438 36.514 212.31 3.6 3.4 1.9 deepHinduKush
70.215 36.469 212.33 2.7 5.7 1.9 deepHinduKush
70.280 36.492 212.37 3.5 3.6 1.9 deepHinduKush
72.180 37.373 212.38 3.1 3.5 1.9 deepPamir
72.262 37.391 212.38 3.8 5.0 1.9 deepPamir
72.187 37.374 212.42 2.8 5.0 1.9 deepPamir
70.339 36.439 212.45 3.3 5.8 1.9 deepHinduKush
70.946 36.548 212.48 3.6 5.9 1.9 deepHinduKush
72.135 37.324 212.49 3.0 6.5 1.9 deepPamir
71.896 37.139 212.51 2.7 9.3 1.9 deepPamir
70.306 36.481 212.54 2.7 4.1 1.9 deepHinduKush
70.884 36.548 212.59 2.5 7.5 1.9 deepHinduKush
71.176 36.620 212.60 3.0 5.3 1.9 deepHinduKush
70.321 36.456 212.65 2.5 5.8 1.9 deepHinduKush
71.001 36.540 212.68 4.0 4.9 1.9 deepHinduKush
70.241 36.485 212.77 3.8 4.7 1.9 deepHinduKush
72.174 37.351 212.81 3.1 5.3 1.9 deepPamir
72.176 37.366 212.81 4.3 7.0 1.9 deepPamir
70.097 36.258 212.82 2.8 7.9 - deepHinduKush
72.166 37.349 212.86 2.8 6.0 1.9 deepPamir
72.251 37.409 212.92 3.8 4.1 1.9 deepPamir
70.772 36.426 212.95 3.3 4.7 1.9 deepHinduKush
70.693 36.408 212.97 3.2 5.1 1.9 deepHinduKush
70.333 36.501 212.98 3.3 3.6 1.9 deepHinduKush
70.875 36.607 212.98 3.3 4.4 1.9 deepHinduKush
71.210 36.680 213.00 3.8 5.2 1.9 deepHinduKush
72.245 37.375 213.02 3.4 5.6 1.9 deepPamir
70.333 36.453 213.03 2.3 7.1 1.9 deepHinduKush
72.437 37.513 213.12 3.1 5.7 1.9 deepPamir
70.237 36.508 213.22 2.9 4.7 1.9 deepHinduKush
71.966 37.056 213.25 3.8 3.8 1.9 deepPamir
70.399 36.453 213.28 3.1 4.5 1.9 deepHinduKush
70.236 36.499 213.32 2.7 6.4 1.9 deepHinduKush
72.263 37.388 213.32 2.8 8.0 1.9 deepPamir
71.224 36.575 213.33 3.0 7.9 1.9 deepHinduKush
70.889 36.479 213.40 3.0 5.9 1.9 deepHinduKush
72.179 36.599 213.40 3.0 26.4 - deepPamir
70.355 36.497 213.43 2.7 6.0 1.9 deepHinduKush
70.678 36.444 213.44 3.6 5.5 1.9 deepHinduKush
70.403 36.433 213.47 3.0 7.4 1.9 deepHinduKush
70.387 36.491 213.48 2.3 6.6 1.9 deepHinduKush
72.333 37.421 213.49 3.5 7.5 1.9 deepPamir
70.337 36.455 213.51 3.0 5.5 1.9 deepHinduKush
71.261 36.679 213.53 2.5 9.8 1.9 deepHinduKush
72.153 37.343 213.54 3.8 4.2 1.9 deepPamir
71.049 36.633 213.58 3.5 5.8 - deepHinduKush
71.991 37.060 213.61 2.9 6.2 1.9 deepPamir
70.354 36.390 213.62 3.7 6.0 1.9 deepHinduKush
71.275 36.638 213.62 2.8 6.7 1.9 deepHinduKush
72.150 37.327 213.63 4.4 2.8 1.9 deepPamir
70.278 36.478 213.65 4.4 3.4 1.9 deepHinduKush
72.264 37.363 213.66 3.6 5.2 1.9 deepPamir
70.839 36.583 213.67 2.5 11.4 1.9 deepHinduKush
70.943 36.659 213.67 2.5 11.1 1.9 deepHinduKush
70.263 36.501 213.71 2.8 6.4 1.9 deepHinduKush
69.534 36.617 213.72 2.7 6.3 - deepHinduKush
71.954 37.049 213.75 2.8 5.8 1.9 deepPamir
70.831 36.577 213.76 2.6 9.2 1.9 deepHinduKush
71.305 36.684 213.76 2.5 4.7 1.9 deepHinduKush
70.400 36.521 213.82 2.8 5.5 1.9 deepHinduKush
71.101 36.660 213.82 3.4 4.4 1.9 deepHinduKush
70.300 36.468 213.85 2.3 11.2 1.9 deepHinduKush
70.271 36.567 213.86 2.6 8.9 1.9 deepHinduKush
70.687 36.518 213.96 3.3 4.1 1.9 deepHinduKush
71.221 36.581 213.96 3.3 4.8 1.9 deepHinduKush
70.333 36.464 214.00 2.5 6.0 1.9 deepHinduKush
70.794 36.552 214.05 3.8 4.8 1.9 deepHinduKush
70.417 36.522 214.09 3.0 8.4 1.9 deepHinduKush
70.978 36.516 214.09 2.5 8.0 1.9 deepHinduKush
70.964 36.513 214.10 3.8 4.8 1.9 deepHinduKush
70.248 36.475 214.14 3.0 4.6 1.9 deepHinduKush
70.795 36.585 214.14 3.5 4.6 1.9 deepHinduKush
70.919 36.475 214.14 2.7 6.2 1.9 deepHinduKush
70.236 36.479 214.19 3.0 4.4 1.9 deepHinduKush
71.285 36.667 214.19 3.3 5.8 1.9 deepHinduKush
71.943 37.241 214.22 3.4 6.1 1.9 deepPamir
70.940 36.514 214.23 3.3 4.5 1.9 deepHinduKush
72.169 37.367 214.23 3.2 6.4 1.9 deepPamir
70.331 36.444 214.28 4.2 3.3 1.9 deepHinduKush
70.372 36.508 214.30 2.8 5.2 1.9 deepHinduKush
70.375 36.429 214.31 3.0 5.3 1.9 deepHinduKush
71.885 37.150 214.35 3.2 4.2 1.9 deepPamir
70.996 36.609 214.36 4.8 3.6 1.9 deepHinduKush
70.293 36.499 214.40 2.9 4.9 1.9 deepHinduKush
70.335 36.495 214.40 3.5 4.9 1.9 deepHinduKush
70.366 36.485 214.48 3.0 6.0 1.9 deepHinduKush
72.431 37.510 214.49 2.8 5.2 1.9 deepPamir
71.071 36.690 214.51 4.4 4.7 1.9 deepHinduKush
70.265 36.472 214.52 3.0 5.2 1.9 deepHinduKush
70.315 36.482 214.64 3.2 6.4 1.9 deepHinduKush
71.289 36.657 214.65 3.0 4.2 1.9 deepHinduKush
71.082 36.383 214.66 3.3 7.2 1.9 deepHinduKush
72.166 37.352 214.73 3.5 4.6 1.9 deepPamir
70.922 36.448 214.75 2.6 6.1 1.9 deepHinduKush
72.435 37.501 214.78 3.5 4.4 1.9 deepPamir
70.705 36.451 214.82 2.8 6.7 1.9 deepHinduKush
72.295 37.423 214.83 2.9 5.1 1.9 deepPamir
71.865 37.176 214.84 2.5 8.4 1.9 deepPamir
71.891 37.069 214.86 2.9 5.2 1.9 deepPamir
70.973 36.428 214.87 4.0 4.9 1.9 deepHinduKush
72.170 37.339 214.91 3.0 4.8 1.9 deepPamir
70.336 36.536 214.94 2.7 9.1 1.9 deepHinduKush
70.939 36.573 214.94 3.1 7.0 1.9 deepHinduKush
70.985 36.542 214.96 3.3 6.1 1.9 deepHinduKush
70.237 36.483 215.02 3.6 5.0 1.9 deepHinduKush
70.166 36.483 215.03 4.1 5.0 1.9 deepHinduKush
72.418 37.526 215.06 3.0 5.0 - deepPamir
70.963 36.587 215.18 2.5 6.6 1.9 deepHinduKush
70.010 36.537 215.21 3.0 7.9 1.9 deepHinduKush
70.436 36.454 215.21 2.8 5.8 1.9 deepHinduKush
70.226 36.476 215.26 4.8 3.1 1.9 deepHinduKush
72.243 37.335 215.29 2.9 6.6 1.9 deepPamir
70.234 36.474 215.33 3.4 3.9 1.9 deepHinduKush
70.329 36.502 215.33 2.3 7.7 1.9 deepHinduKush
71.234 36.690 215.37 3.3 3.9 1.9 deepHinduKush
70.424 36.467 215.38 3.2 4.9 1.9 deepHinduKush
70.634 36.446 215.40 3.6 4.9 1.9 deepHinduKush
72.137 37.336 215.50 2.7 5.4 1.9 deepPamir
70.727 36.445 215.52 2.9 7.4 1.9 deepHinduKush
70.226 36.463 215.53 3.7 3.6 1.9 deepHinduKush
70.260 36.469 215.55 2.7 9.3 1.9 deepHinduKush
72.103 37.315 215.55 3.0 5.3 1.9 deepPamir
70.609 36.490 215.56 2.7 7.9 1.9 deepHinduKush
70.349 36.456 215.57 3.2 5.1 1.9 deepHinduKush
70.772 36.503 215.57 2.8 7.5 1.9 deepHinduKush
71.154 36.673 215.57 2.9 5.4 1.9 deepHinduKush
70.856 36.553 215.65 4.7 3.8 1.9 deepHinduKush
71.234 36.659 215.65 3.0 7.6 1.9 deepHinduKush
71.898 37.267 215.68 2.7 7.1 - deepPamir
71.086 36.677 215.69 2.9 4.9 1.9 deepHinduKush
71.021 36.636 215.75 2.6 5.3 1.9 deepHinduKush
71.004 36.588 215.77 3.6 4.1 1.9 deepHinduKush
70.889 36.606 215.86 4.3 3.9 1.9 deepHinduKush
71.146 36.416 215.87 3.5 3.7 1.9 deepHinduKush
69.638 36.555 215.89 3.8 3.6 - deepHinduKush
70.984 36.593 215.90 2.8 6.3 1.9 deepHinduKush
71.293 36.632 215.91 3.0 5.6 1.9 deepHinduKush
71.423 36.738 215.99 2.8 8.9 - deepHinduKush
71.858 37.109 216.01 2.8 6.9 1.9 deepPamir
73.831 38.128 216.09 3.1 18.5 - deepPamir
71.012 36.591 216.12 4.4 3.4 1.9 deepHinduKush
72.248 37.427 216.12 2.4 7.5 1.9 deepPamir
70.856 36.639 216.16 3.9 11.0 1.9 deepHinduKush
70.211 36.483 216.19 3.2 5.4 1.9 deepHinduKush
71.145 36.670 216.19 4.1 4.6 1.9 deepHinduKush
71.979 37.065 216.19 2.7 8.1 1.9 deepPamir
70.292 36.477 216.21 2.6 6.6 1.9 deepHinduKush
70.213 36.487 216.22 3.8 3.3 1.9 deepHinduKush
70.442 36.487 216.22 2.6 6.3 1.9 deepHinduKush
70.002 36.512 216.24 2.7 6.3 1.9 deepHinduKush
72.135 37.307 216.30 2.9 7.7 1.9 deepPamir
70.954 36.579 216.40 3.0 7.0 1.9 deepHinduKush
72.227 37.344 216.41 2.7 6.9 1.9 deepPamir
70.063 36.523 216.44 5.3 3.7 1.9 deepHinduKush
71.115 36.662 216.51 3.4 10.5 1.9 deepHinduKush
71.208 36.791 216.64 2.6 7.3 - deepHinduKush
70.722 36.366 216.71 3.2 7.1 1.9 deepHinduKush
70.256 36.477 216.72 3.8 4.0 1.9 deepHinduKush
70.899 36.536 216.72 2.2 8.3 1.9 deepHinduKush
70.244 36.502 216.76 2.6 7.3 1.9 deepHinduKush
70.252 36.508 216.78 3.2 4.5 1.9 deepHinduKush
70.898 36.544 216.78 2.6 6.0 1.9 deepHinduKush
71.157 36.615 216.85 2.4 7.0 1.9 deepHinduKush
72.143 37.301 216.86 3.7 2.9 1.9 deepPamir
70.210 36.484 216.92 2.6 4.9 1.9 deepHinduKush
70.286 36.404 216.92 2.7 7.4 1.9 deepHinduKush
70.782 36.547 216.92 4.6 3.5 1.9 deepHinduKush
72.245 37.335 216.94 3.6 5.3 1.9 deepPamir
71.321 36.669 216.97 3.4 5.2 1.9 deepHinduKush
71.131 36.694 216.98 3.2 5.4 1.9 deepHinduKush
70.255 36.483 217.00 2.8 5.8 1.9 deepHinduKush
70.383 36.432 217.03 3.6 7.9 1.9 deepHinduKush
70.840 36.640 217.04 3.4 4.7 1.9 deepHinduKush
70.360 36.471 217.07 2.9 6.0 1.9 deepHinduKush
70.661 36.447 217.07 2.7 7.6 1.9 deepHinduKush
71.128 36.671 217.11 4.8 3.5 1.9 deepHinduKush
70.349 36.529 217.13 3.4 4.7 1.9 deepHinduKush
72.215 37.374 217.13 3.7 4.3 1.9 deepPamir
72.482 37.521 217.13 2.5 9.6 1.9 deepPamir
70.386 36.441 217.14 3.4 3.5 1.9 deepHinduKush
71.171 36.629 217.14 2.7 6.0 1.9 deepHinduKush
71.122 36.605 217.15 3.7 5.0 1.9 deepHinduKush
70.288 36.465 217.16 2.7 6.4 1.9 deepHinduKush
72.164 37.336 217.16 3.3 5.8 1.9 deepPamir
70.927 36.616 217.19 2.8 4.2 1.9 deepHinduKush
70.346 36.493 217.22 2.5 8.4 1.9 deepHinduKush
70.355 36.441 217.25 3.9 6.0 1.9 deepHinduKush
70.738 36.462 217.25 3.4 4.2 1.9 deepHinduKush
70.858 36.587 217.26 3.6 4.7 1.9 deepHinduKush
70.224 36.468 217.27 2.6 5.8 1.9 deepHinduKush
70.380 36.511 217.29 4.3 4.9 1.9 deepHinduKush
70.647 36.259 217.34 2.3 11.2 - deepHinduKush
71.922 37.077 217.39 3.3 9.6 1.9 deepPamir
70.246 36.503 217.40 3.7 4.1 1.9 deepHinduKush
72.149 37.291 217.42 3.0 4.5 1.9 deepPamir
70.257 36.453 217.43 4.3 3.1 1.9 deepHinduKush
70.881 36.635 217.44 3.4 6.7 1.9 deepHinduKush
71.953 37.049 217.44 3.0 6.9 1.9 deepPamir
72.145 37.366 217.47 2.4 11.5 1.9 deepPamir
71.228 36.614 217.48 3.6 6.1 1.9 deepHinduKush
72.207 37.332 217.48 3.5 6.5 1.9 deepPamir
71.055 36.654 217.52 2.5 5.9 1.9 deepHinduKush
71.056 36.686 217.52 3.2 7.4 1.9 deepHinduKush
71.164 36.592 217.53 3.3 4.7 1.9 deepHinduKush
70.958 36.592 217.60 2.8 5.8 1.9 deepHinduKush
71.152 36.387 217.62 3.1 5.6 1.9 deepHinduKush
70.210 36.492 217.63 3.3 5.0 1.9 deepHinduKush
70.976 36.472 217.64 4.2 6.0 1.9 deepHinduKush
71.080 36.629 217.64 2.8 7.7 1.9 deepHinduKush
70.939 36.651 217.65 2.6 4.9 1.9 deepHinduKush
72.163 37.294 217.68 3.9 5.4 1.9 deepPamir
70.233 36.517 217.70 2.9 9.1 1.9 deepHinduKush
72.134 37.255 217.72 2.9 11.3 - deepPamir
71.164 36.666 217.73 3.7 4.8 1.9 deepHinduKush
71.165 36.679 217.74 2.9 7.0 1.9 deepHinduKush
